time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-06-10T17:10:48.640Z,30.0335,-79.6406,0,3.7,mb,,91,2.271,0.77,us,us200064sn,2016-08-25T01:22:50.040Z,"156km ENE of Flagler Beach, Florida",experimental explosion,6.3,1.9,0.29,3,reviewed,us,us
2016-06-09T18:16:01.880Z,43.7617,-105.3167,0,3.3,ml,,51,0.992,0.37,us,us20006378,2016-08-18T00:36:36.040Z,"Wyoming",mining explosion,6.4,2,0.053,46,reviewed,us,us
2016-06-08T21:21:18.650Z,43.5247,-105.2578,0,3.3,ml,,51,1.066,0.88,us,us200062wa,2016-08-18T00:36:35.040Z,"Wyoming",mining explosion,3.1,2,0.056,51,reviewed,us,us
2016-06-08T16:00:36.810Z,43.9611,-105.1957,0,3.2,ml,,62,0.851,0.71,us,us200062t1,2016-08-18T00:36:35.040Z,"Wyoming",mining explosion,3.1,2,0.064,32,reviewed,us,us
2016-06-05T19:25:32.510Z,43.5063,-105.0492,0,3.2,ml,,138,0.957,1.4,us,us20006283,2016-08-18T00:36:31.040Z,"Wyoming",mining explosion,3.8,2,0.077,22,reviewed,us,us
2016-06-02T19:23:18.200Z,43.5909,-105.1971,0,3,ml,,52,0.993,0.88,us,us2000604s,2016-08-10T22:30:33.040Z,"Wyoming",mining explosion,4.6,2,0.256,2,reviewed,us,us
2016-06-01T15:35:12.050Z,44.458,-105.3847,0,3.5,ml,,64,1.025,1,us,us20005zm9,2016-08-10T22:30:31.040Z,"Wyoming",mining explosion,5.9,2,0.055,44,reviewed,us,us
2016-05-29T19:32:42.260Z,43.6281,-105.2877,0,3.5,ml,,53,1.03,0.77,us,us20005z29,2016-08-10T22:30:26.040Z,"Wyoming",mining explosion,6.7,2,0.062,34,reviewed,us,us
2016-05-26T20:29:45.060Z,43.6556,-105.2049,0,3.5,ml,,46,0.964,0.95,us,us20005y8u,2016-08-03T22:33:46.040Z,"Wyoming",mining explosion,5.9,2,0.05,52,reviewed,us,us
2016-05-23T21:11:31.890Z,43.7727,-105.2702,0,3.5,ml,,45,0.957,0.58,us,us10005jed,2016-08-03T22:33:43.040Z,"Wyoming",mining explosion,5.2,2,0.051,50,reviewed,us,us
2016-05-20T21:09:38.560Z,43.6088,-105.4648,0,3.2,ml,,36,1.153,1.04,us,us20005y55,2016-08-03T22:33:39.040Z,"Wyoming",mining explosion,4.4,2,0.046,62,reviewed,us,us
2016-05-20T20:12:52.480Z,43.6752,-105.3139,0,3.2,ml,,73,1.025,0.85,us,us20005y4z,2016-08-03T22:33:39.040Z,"Wyoming",mining explosion,3.2,2,0.047,60,reviewed,us,us
2016-05-14T19:20:35.340Z,43.6087,-105.2634,0,3.4,ml,,35,1.025,0.64,us,us10005hfg,2016-07-22T19:39:06.040Z,"Wyoming",mining explosion,6.5,2,0.051,65,reviewed,us,us
2016-05-12T20:01:53.070Z,43.7781,-105.2442,0,3.3,ml,,89,0.937,0.59,us,us10005gwl,2016-07-20T18:10:55.040Z,"Wyoming",mining explosion,2.8,2,0.048,56,reviewed,us,us
2016-05-06T19:32:36.410Z,43.5894,-105.2537,0,3.5,ml,,78,1.028,1.34,us,us10005edg,2016-07-20T18:10:45.040Z,"Wyoming",mining explosion,4.5,2,0.046,61,reviewed,us,us
2016-05-02T20:03:47.770Z,43.769,-105.2606,0,3.5,ml,,71,0.952,0.58,us,us10005d4b,2016-07-19T20:03:10.040Z,"Wyoming",mining explosion,2.1,2,0.049,54,reviewed,us,us
2016-04-29T08:58:13.370Z,33.3773,-87.1819,1.98,3,mb_lg,,48,0.37,0.77,us,us10005cep,2016-07-19T20:03:05.040Z,"11km NNW of Lake View, Alabama",mine collapse,2.5,6.7,0.047,118,reviewed,us,us
2016-04-25T21:27:42.990Z,43.5873,-105.2041,0,3.5,ml,,52,0.999,0.72,us,us10005bhg,2016-07-08T02:49:23.040Z,"Wyoming",mining explosion,5.6,2,0.047,60,reviewed,us,us
2016-04-25T19:10:38.730Z,43.5889,-105.3796,0,3.6,ml,,146,1.257,0.62,us,us10005bgf,2016-07-08T02:49:22.040Z,"Wyoming",mining explosion,4.3,2,0.045,66,reviewed,us,us
2016-04-22T20:03:51.720Z,43.725,-105.3162,0,3.3,ml,,33,1.006,0.85,us,us20005l0m,2016-07-08T02:49:18.040Z,"Wyoming",mining explosion,4.8,2,0.041,78,reviewed,us,us
2016-04-22T15:52:36.800Z,33.3396,-87.1918,1.1,3,mb_lg,,70,0.34,0.52,us,us20005kx3,2016-07-08T02:49:18.040Z,"Alabama",mine collapse,3.5,7.8,0.051,101,reviewed,us,us
2016-04-19T21:15:43.620Z,43.5867,-105.3541,0,3.3,ml,,50,1.093,0.64,us,us20005jxr,2016-06-27T23:02:20.040Z,"Wyoming",mining explosion,4.9,1.7,0.057,54,reviewed,us,us
2016-04-15T21:28:10.790Z,45.8684,-106.7253,0,3,ml,,53,0.891,1.35,us,us20005iti,2016-06-27T23:01:44.040Z,"eastern Montana",mining explosion,5.7,2,0.049,54,reviewed,us,us
2016-04-12T19:18:55.290Z,43.665,-105.2014,0,3.7,ml,,49,0.958,1.16,us,us20005hk8,2016-06-21T01:14:10.040Z,"Wyoming",mining explosion,5.2,2,0.044,68,reviewed,us,us
2016-04-10T20:03:36.850Z,43.5641,-105.5323,0,3.1,ml,,230,1.166,0.88,us,us20005gut,2016-06-21T01:14:07.040Z,"Wyoming",mining explosion,6.9,2,0.06,36,reviewed,us,us
2016-04-07T20:08:36.950Z,43.8174,-105.3032,0,3.3,ml,,68,0.964,0.44,us,us20005g7a,2016-06-17T21:45:57.040Z,"Wyoming",mining explosion,3.1,2,0.052,48,reviewed,us,us
2016-04-03T21:16:19.790Z,43.9659,-105.6077,0,3.1,ml,,147,1.144,0.58,us,us20005gga,2016-06-17T21:45:20.040Z,"Wyoming",mining explosion,4.2,2,0.064,32,reviewed,us,us
2016-04-03T20:38:16.380Z,43.7195,-105.2851,0,3.1,ml,,78,0.988,0.4,us,us20005ecz,2016-06-17T21:45:20.040Z,"Wyoming",mining explosion,2.9,2,0.066,30,reviewed,us,us
2016-04-02T19:08:30.670Z,43.6182,-105.191,0,3.5,ml,,100,0.975,0.72,us,us20005e60,2016-06-17T21:45:09.040Z,"Wyoming",mining explosion,3.8,2,0.056,48,reviewed,us,us
2016-03-27T20:04:00.330Z,43.8343,-105.3318,0,3,ml,,137,0.978,1.2,us,us20005dwk,2016-06-10T23:32:53.040Z,"Wyoming",mining explosion,4,2,0.074,22,reviewed,us,us
2016-03-26T19:15:39.170Z,43.625,-105.2339,0,3.4,ml,,51,0.998,0.77,us,us20005cli,2016-06-10T23:32:51.040Z,"Wyoming",mining explosion,5.7,2,0.059,50,reviewed,us,us
2016-03-26T18:04:20.670Z,44.0029,-105.2251,0,3,ml,,38,0.865,0.61,us,us20005dq4,2016-06-10T23:32:51.040Z,"Wyoming",mining explosion,6,2,0.046,62,reviewed,us,us
2016-03-25T20:03:26.400Z,43.7823,-105.2883,0,3.2,ml,,37,0.965,0.86,us,us20005chg,2016-06-10T23:32:50.040Z,"Wyoming",mining explosion,4.6,2,0.042,74,reviewed,us,us
2016-03-24T20:31:39.730Z,43.9852,-105.2576,0,3.2,ml,,95,0.891,0.63,us,us20005den,2016-06-09T21:41:59.040Z,"Wyoming",mining explosion,4.4,1.7,0.06,36,reviewed,us,us
2016-03-22T20:09:36.490Z,43.7534,-105.2836,0,3.4,ml,,33,0.973,0.99,us,us20005ca1,2016-06-09T21:41:56.040Z,"Wyoming",mining explosion,2.9,2,0.042,76,reviewed,us,us
2016-03-19T20:09:54.960Z,45.8966,-106.671,0,3,ml,,100,0.85,0.78,us,us20005b2s,2016-06-09T21:41:51.040Z,"eastern Montana",mining explosion,5.6,2,0.058,51,reviewed,us,us
2016-03-17T23:13:22.340Z,40.6275,-109.4798,0,3,ml,,48,0.088,1.16,us,us20005alv,2016-05-21T00:05:35.040Z,"Utah",mining explosion,4,2,0.033,124,reviewed,us,us
2016-03-15T19:26:43.750Z,43.5879,-105.2698,0,3.6,ml,,33,1.039,0.84,us,us200059yr,2016-05-21T00:05:32.040Z,"Wyoming",mining explosion,4.7,1.8,0.043,70,reviewed,us,us
2016-03-12T22:48:49.690Z,43.7632,-105.3373,0,3.1,ml,,80,1.005,0.86,us,us10004x3u,2016-05-21T00:05:27.040Z,"Wyoming",mining explosion,5.7,2,0.064,34,reviewed,us,us
2016-03-12T20:19:12.540Z,43.6277,-105.1766,0,3.5,ml,,52,0.961,0.56,us,us10004x2s,2016-05-21T00:05:27.040Z,"Wyoming",mining explosion,3.9,1.8,0.051,62,reviewed,us,us
2016-03-11T19:01:01.680Z,43.7307,-105.1281,0,3.6,ml,,37,0.88,0.89,us,us10004wu4,2016-05-21T00:05:25.040Z,"Wyoming",mining explosion,4.5,2,0.043,71,reviewed,us,us
2016-03-09T21:07:18.190Z,43.6971,-105.2607,0,3.4,ml,,51,0.981,0.74,us,us10004wdk,2016-05-16T18:01:49.040Z,"Wyoming",mining explosion,6,2,0.052,62,reviewed,us,us
2016-03-08T20:50:59.350Z,43.5655,-105.1811,0,3.5,ml,,38,0.997,1.12,us,us10004w4z,2016-05-16T18:01:48.040Z,"Wyoming",mining explosion,3.8,2,0.045,64,reviewed,us,us
2016-03-06T19:01:49.730Z,43.6947,-105.2852,0,3.2,ml,,119,0.998,1.08,us,us10004vpy,2016-05-16T18:01:46.040Z,"Wyoming",mining explosion,5.3,2,0.071,26,reviewed,us,us
2016-03-05T21:13:52.200Z,43.7525,-105.3139,0,3.4,ml,,39,0.994,0.71,us,us10004v9n,2016-05-16T18:01:44.040Z,"Wyoming",mining explosion,6.1,2,0.06,48,reviewed,us,us
2016-03-05T19:57:23.160Z,43.544,-105.2469,0,3.3,ml,,37,1.049,0.86,us,us10004uym,2016-05-16T18:01:44.040Z,"Wyoming",mining explosion,4.7,1.8,0.069,40,reviewed,us,us
2016-03-04T20:11:41.910Z,43.6434,-105.43,0,3.3,ml,,42,1.115,1.33,us,us10004w47,2016-05-16T18:01:43.040Z,"Wyoming",mining explosion,4,1.7,0.044,68,reviewed,us,us
