312 0.0561028 0.0420875 0.0509603 0.0355802 stre_312_AE.U15A_2012-08-25T14:16:16.750000Z.out.back
233 0.0615833 0.0554207 0.0579731 0.0495126 stre_233_AE.U15A_2012-08-24T04:43:50.700000Z.out.back
239 0.0847411 0.0696978 0.07071 0.0623026 stre_239_AE.U15A_2012-08-18T17:45:03.570000Z.out.back
317 0.0596801 0.0473514 0.0524232 0.037281 stre_317_AE.U15A_2012-08-14T02:59:38.860000Z.out.back
310 0.0389971 0.0400908 0.0331538 0.0375952 stre_310_AE.U15A_2012-08-10T18:37:42.870000Z.out.back
244 0.0799358 0.0594557 0.0648489 0.0567668 stre_244_AE.U15A_2012-08-08T10:57:46.130000Z.out.back
311 0.0818572 0.0647895 0.073272 0.0583998 stre_311_AE.U15A_2012-07-11T02:31:19.030000Z.out.back
311 0.0450472 0.0327059 0.0372327 0.0293721 stre_311_AE.U15A_2012-07-08T11:33:05.290000Z.out.back
252 0.0485473 0.0570553 0.0525158 0.0518516 stre_252_AE.U15A_2012-07-06T02:28:22.550000Z.out.back
138 0.0548312 0.0334053 0.0528586 0.0343021 stre_138_AE.U15A_2012-07-02T23:31:37.670000Z.out.back
320 0.0479146 0.0347782 0.0422586 0.0256527 stre_320_AE.U15A_2012-06-24T03:15:01.980000Z.out.back
313 0.0468682 0.0443062 0.0400595 0.0388731 stre_313_AE.U15A_2012-06-19T15:56:33.590000Z.out.back
310 0.0481428 0.0356001 0.0432407 0.0325649 stre_310_AE.U15A_2012-06-17T20:32:21.010000Z.out.back
131 0.0477717 0.0379356 0.0480625 0.032117 stre_131_AE.U15A_2012-06-04T03:15:24.590000Z.out.back
131 0.043318 0.0373289 0.0361862 0.0271335 stre_131_AE.U15A_2012-06-04T00:45:16.380000Z.out.back
133 0.070268 0.0561143 0.0650544 0.0519227 stre_133_AE.U15A_2012-06-02T07:52:54.600000Z.out.back
315 0.0561143 0.0575587 0.0537085 0.0589076 stre_315_AE.U15A_2012-05-29T02:40:54.350000Z.out.back
137 0.0641103 0.0573007 0.0514941 0.0480171 stre_137_AE.U15A_2012-05-28T05:07:23.520000Z.out.back
16 0.0883953 0.0897411 0.0867704 0.061992 stre_16_AE.U15A_2012-05-24T22:47:46.470000Z.out.back
312 0.0515843 0.0435596 0.0516913 0.045381 stre_312_AE.U15A_2012-05-23T15:02:27.110000Z.out.back
309 0.0389768 0.0286078 0.0267036 0.019506 stre_309_AE.U15A_2012-05-20T07:20:37.080000Z.out.back
141 0.0629307 0.0465569 0.0461077 0.0425903 stre_141_AE.U15A_2012-05-19T08:35:09.590000Z.out.back
135 0.0539266 0.0406844 0.0527127 0.0379948 stre_135_AE.U15A_2012-05-14T10:00:39.800000Z.out.back
236 0.0663046 0.0558181 0.046458 0.0473623 stre_236_AE.U15A_2012-05-05T20:23:33.920000Z.out.back
238 0.0603726 0.0395915 0.04227 0.0352665 stre_238_AE.U15A_2012-04-28T10:08:07.220000Z.out.back
145 0.0502449 0.0320747 0.0431861 0.0368559 stre_145_AE.U15A_2012-04-17T03:50:15.280000Z.out.back
147 0.0513635 0.0409059 0.0384306 0.035266 stre_147_AE.U15A_2012-03-25T22:37:06.560000Z.out.back
310 0.0492211 0.0396915 0.0379282 0.0345087 stre_310_AE.U15A_2012-03-14T09:08:36.230000Z.out.back
247 0.07706 0.064257 0.0687132 0.0571482 stre_247_AE.U15A_2012-03-09T07:09:53.320000Z.out.back
250 0.0710114 0.0493916 0.0462581 0.0405531 stre_250_AE.U15A_2012-02-02T13:34:41.010000Z.out.back
138 0.0539143 0.0441283 0.0396975 0.0297962 stre_138_AE.U15A_2012-01-30T05:10:59.460000Z.out.back
148 0.0579722 0.0418635 0.0454526 0.0471674 stre_148_AE.U15A_2012-01-23T16:04:53.300000Z.out.back
308 0.065738 0.0589866 0.0572217 0.0544942 stre_308_AE.U15A_2012-01-12T03:20:50.320000Z.out.back
142 0.0716742 0.0545304 0.0676388 0.0523276 stre_142_AE.U15A_2011-12-07T22:23:07.780000Z.out.back
